qid;pageid;title;question;current_time;outdated_info_dates;answer;outdated_answer
470;7133778;Milan Neralić;What ethnicity was Milan Neralić born to?;2024-10-01T00:00:00Z;2024-09-01T00:00:00Z;Croatian;Serb
471;36854052;Zach Mettenberger;Which team was Ben Roethlisberger recovering from an injury against when Zach Mettenberger was active as the backup for Week 7?;2024-09-01T00:00:00Z;2024-08-01T00:00:00Z;Miami Dolphins;New England Patriots
472;59130863;Premier FMCG;How many bakeries does Premier operate?;2024-10-01T00:00:00Z;2024-09-01T00:00:00Z;13;16
473;71818237;Dennis Jones (musician);How many albums has Dennis Jones released since 2003?;2024-09-01T00:00:00Z;2024-08-01T00:00:00Z;Eight albums;Seven albums
474;63806001;Kentucky Downs Ladies Turf Stakes;What is the total purse of the Kentucky Downs Ladies Turf Stakes and the amount included from the Kentucky Thoroughbred Development Fund?;2024-09-01T00:00:00Z;2024-08-01T00:00:00Z;$1,500,000, including $600,000 from the Kentucky Thoroughbred Development Fund;$1,000,000, including $400,000 from the Kentucky Thoroughbred Development Fund
475;67377512;Professional Wrestling Just Tap Out;How many different champions have held the JTO Girls Championship, and how many reigns have they shared?;2024-11-01T00:00:00Z;2024-10-01T00:00:00Z;Four champions, four reigns;Three champions, three reigns
476;77260699;Mery Bas;"What is the birthdate of María José ""Mery"" Bas Arguijo?";2024-10-01T00:00:00Z;2024-09-01T00:00:00Z;29 December 1967;18 September 1968
477;623823;Tallaght;What is the seating capacity of Tallaght Stadium?;2024-11-01T00:00:00Z;2024-10-01T00:00:00Z;10,000;6,000
478;31709062;Rahul Sharma (cricketer, born 1986);What is Rahul Sharma's birthdate?;2024-08-01T00:00:00Z;2024-07-01T00:00:00Z;30 November 1986;20 July 1987
479;60523453;Wendell Moore Jr.;Which team does Wendell Horace Moore Jr. play for in the National Basketball Association (NBA)?;2024-08-01T00:00:00Z;2024-07-01T00:00:00Z;Detroit Pistons;Minnesota Timberwolves
480;77535291;Nahir Galarza case;Who published a photograph of her and Pastorizzo on social media after Pastorizzo's corpse was found in the morning?;2024-11-01T00:00:00Z;2024-10-01T00:00:00Z;Galarza;Nahir
481;100491;Derbyshire Wildlife Trust;How many of the nature reserves managed by Derbyshire Wildlife Trust are Sites of Special Scientific Interest (SSSIs)?;2024-08-01T00:00:00Z;2024-07-01T00:00:00Z;16;14
482;68447392;Ricky Aguiar;Which club does Ricky Leon Aguiar play for?;2024-08-01T00:00:00Z;2024-07-01T00:00:00Z;York City;Swindon Town
483;7427650;Siege of Constantinople (674–678);What was the name of the battle in which the young Muslim navy scored a crushing victory over its Byzantine counterpart?;2024-08-01T00:00:00Z;2024-07-01T00:00:00Z;Battle of the Masts;Battle of Phoenix
484;55967145;Mid Cork Junior A Hurling Championship;Who did Ballinora defeat to become the title-holders?;2024-11-01T00:00:00Z;2024-10-01T00:00:00Z;Ballincollig;Dripsey
485;74572796;Pablo Gozálbez;Which team does Pablo Gozálbez Gilabert play for as an attacking midfielder?;2024-07-01T00:00:00Z;2024-06-01T00:00:00Z;Arouca;Valencia CF Mestalla
486;44497653;List of tallest buildings in Brooklyn;How many completed or topped out skyscrapers are there in Brooklyn that stand at least as tall as the standard height measurement?;2024-09-01T00:00:00Z;"2024-06-01T00:00:00Z;2024-07-01T00:00:00Z";Over 60;"Over 70;Over 80"
487;49991090;DXKT-AM;What time does DXKT-AM start operating daily?;2024-11-01T00:00:00Z;2024-10-01T00:00:00Z;5:00 AM;6:00 AM
488;46329069;Andrija Majdevac;Which club does Andrija Majdevac play for?;2024-08-01T00:00:00Z;2024-07-01T00:00:00Z;Panetolikos;Napredak Kruševac on loan from Debrecen
489;3225510;GMC Acadia;What is the maximum seating capacity of the 2024 GMC Acadia?;2024-09-01T00:00:00Z;2024-08-01T00:00:00Z;7;8
490;47668347;Rainbow Party (Zambia);What is the name of the socialist political party in Zambia established by Wynter Kabimba?;2024-12-01T00:00:00Z;2024-11-01T00:00:00Z;The Economic Front Party;The Rainbow Party
491;31228778;Dyal Singh College, Delhi;What is the NIRF ranking of Dyal Singh College among colleges in India?;2024-09-01T00:00:00Z;2024-08-01T00:00:00Z;34th;48th
492;70082121;Monumento a los Constructores;In what year did multiple CSIM members topple two of the statues?;2024-12-01T00:00:00Z;"2024-06-01T00:00:00Z;2024-07-01T00:00:00Z";2022;"2022;2024"
493;54480507;List of international cricket centuries by Joe Root;How many Test centuries has Joe Root scored?;2024-11-01T00:00:00Z;"2024-08-01T00:00:00Z;2024-09-01T00:00:00Z";35;"32;34"
494;59096176;Lamborghini Veneno;What is the acceleration time of the Lamborghini Veneno?;2024-07-01T00:00:00Z;2024-06-01T00:00:00Z;2.8 seconds;2.7 seconds
495;38790484;List of Satish Dhawan Space Centre launches;How many launches have there been from the three main orbital pads at Satish Dhawan Space Centre?;2024-12-01T00:00:00Z;2024-11-01T00:00:00Z;96;95
496;2128164;Claver, Surigao del Norte;What is the class of the municipality of Claver in the province of Surigao del Norte, Philippines?;2024-12-01T00:00:00Z;2024-11-01T00:00:00Z;1st class;2nd class
497;2157080;Staple Fitzpaine;What county constituency is Staple Fitzpaine part of in the House of Commons of the Parliament of the United Kingdom?;2024-09-01T00:00:00Z;2024-08-01T00:00:00Z;Taunton and Wellington;Taunton Deane
498;10687497;Garden City High School (Kansas);Which region's top wrestling programs are attracted to the annual tournament hosted by Garden City High School's wrestling program?;2024-12-01T00:00:00Z;2024-11-01T00:00:00Z;Central United States;Midwestern United States
499;2112333;Peakhurst;What percentage of residents in Peakhurst stated that English was the only language spoken at home?;2024-10-01T00:00:00Z;2024-09-01T00:00:00Z;55.0%;70%
500;54166989;Giulia Morlet;What is Giulia Morlet's career high WTA singles ranking?;2024-08-01T00:00:00Z;2024-07-01T00:00:00Z;1055;1175
